"FileName","TargetIssueFreq","TargetCommitFreq","TargetChurn","ChangeFreq","ChangeChurn","Clique","Crossing","isCenter","ModularityViolation","PackageCycle","UnhealthyInheritance","UnstableInterface","isUnstableInterface"
"fontbox.src.main.java.org.apache.fontbox.util.autodetect.OS400FontDirFinder_java","0","0","0","0","0","0","0","false","0","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.pagenavigation.PDTransitionStyle_java","0","0","0","2","31","0","0","false","1","0","0","0","false"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.graphics.blend.BlendModeTest_java","0","0","0","0","0","0","0","false","0","0","1","0","false"
"debugger.src.main.java.org.apache.pdfbox.debugger.streampane.tooltip.FontToolTip_java","0","0","0","1","2","0","0","false","0","0","1","0","false"
"xmpbox.src.main.java.org.apache.xmpbox.type.DimensionsType_java","0","0","0","2","49","1","0","false","1","1","0","0","false"
"examples.src.main.java.org.apache.pdfbox.examples.signature.CreateSignatureBase_java","0","0","0","16","600","0","0","false","1","0","1","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.color.PDDeviceGray_java","0","0","0","9","174","1","1","false","6","1","0","6","false"
"examples.src.main.java.org.apache.pdfbox.examples.rendering.CustomGraphicsStreamEngine_java","0","0","0","2","208","0","0","false","1","0","1","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDParentTreeValue_java","0","0","0","0","0","0","0","false","0","0","1","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.common.filespecification.PDFileSpecification_java","0","0","0","2","3","1","0","false","2","1","1","2","false"
"pdfbox.src.main.java.org.apache.pdfbox.cos.COSArray_java","0","0","0","21","107","1","19","true","8","4","4","17","true"
"debugger.src.main.java.org.apache.pdfbox.debugger.ui.ImageUtil_java","0","0","0","1","2","0","0","false","0","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.rendering.RenderDestination_java","0","0","0","0","0","0","0","false","0","1","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.documentinterchange.markedcontent.PDPropertyList_java","0","0","0","2","73","1","1","false","0","1","1","1","false"
"examples.src.main.java.org.apache.pdfbox.examples.signature.CreateVisibleSignature2_java","0","0","0","0","0","0","0","false","0","0","5","0","false"
"fontbox.src.main.java.org.apache.fontbox.ttf.MaximumProfileTable_java","0","0","0","5","299","1","2","false","3","0","1","3","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.shading.Type4ShadingPaint_java","0","0","0","11","162","1","0","false","3","0","0","1","false"
"fontbox.src.main.java.org.apache.fontbox.cff.CFFParser_java","4","4","90","66","7617","1","1","false","4","0","3","3","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDUserAttributeObject_java","0","0","0","8","435","1","1","false","1","0","2","1","false"
"pdfbox.src.main.java.org.apache.pdfbox.contentstream.operator.text.NextLine_java","0","0","0","3","10","0","1","false","2","1","0","2","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.digitalsignature.PDSignature_java","0","0","0","16","1436","0","3","false","3","1","0","10","false"
"preflight.src.test.java.org.apache.pdfbox.preflight.parser.TestPreflightConfiguration_java","0","0","0","2","143","0","2","false","3","0","0","12","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.annotation.PDAnnotationText_java","0","0","0","6","78","1","2","false","1","0","1","3","false"
"xmpbox.src.test.java.org.apache.xmpbox.schema.AbstractXMPSchemaTest_java","0","0","0","3","1065","0","7","true","2","0","2","15","false"
"fontbox.src.main.java.org.apache.fontbox.cff.DataInput_java","0","0","0","5","235","0","0","false","2","0","1","1","false"
"preflight.src.main.java.org.apache.pdfbox.preflight.font.util.FontMetaDataValidation_java","0","0","0","9","414","1","1","false","3","1","1","7","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.encryption.MessageDigests_java","0","0","0","3","65","0","0","false","0","0","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.multipdf.Splitter_java","1","1","8","8","65","0","0","false","2","0","2","0","false"
"fontbox.src.main.java.org.apache.fontbox.ttf.IndexToLocationTable_java","0","0","0","5","100","1","3","false","3","0","1","3","false"
"fontbox.src.main.java.org.apache.fontbox.cff.CFFType1Font_java","0","0","0","11","287","1","1","false","6","1","3","4","false"
"xmpbox.src.main.java.org.apache.xmpbox.type.RationalType_java","0","0","0","1","34","1","0","false","0","1","1","0","false"
"fontbox.src.main.java.org.apache.fontbox.ttf.OTFParser_java","1","1","6","6","154","0","2","false","1","0","1","2","false"
"examples.src.main.java.org.apache.pdfbox.examples.signature.validation.AddValidationInformation_java","0","0","0","2","451","0","0","false","0","0","2","0","false"
"pdfbox.src.test.java.org.apache.pdfbox.multipdf.MergeAcroFormsTest_java","0","0","0","2","121","0","0","false","0","0","0","0","false"
"pdfbox.src.test.java.org.apache.pdfbox.pdmodel.interactive.action.PDActionURITest_java","3","4","84","4","84","0","0","false","0","0","1","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure.PDStructureElement_java","0","0","0","14","433","1","4","false","9","1","4","11","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.encryption.SecurityProvider_java","0","0","0","5","100","0","0","false","2","0","0","1","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.interactive.form.PDPushButton_java","1","1","7","21","354","1","3","false","8","0","1","9","false"
"pdfbox.src.main.java.org.apache.pdfbox.util.Charsets_java","1","1","5","5","58","0","1","false","0","1","0","0","false"
"debugger.src.main.java.org.apache.pdfbox.debugger.ui.ArrayEntry_java","0","0","0","1","2","0","0","false","0","2","0","0","false"
"pdfbox.src.main.java.org.apache.pdfbox.pdmodel.graphics.color.PDJPXColorSpace_java","0","0","0","3","101","0","1","false","4","0","0","4","false"
